Record_ID,Date,Time,Shift,HX_ID,Operator_ID,Hot_Fluid,Hot_Inlet_Temp_C,Hot_Outlet_Temp_C,Hot_Pressure_bar,Hot_Flow_Rate_kg_hr,Cold_Fluid,Cold_Inlet_Temp_C,Cold_Outlet_Temp_C,Cold_Pressure_bar,Cold_Flow_Rate_kg_hr,Heat_Duty_kW,LMTD_C,U_Value_W_m2K,Reynolds_Number,Effectiveness_pct,Thermal_Efficiency_pct,Fouling_Factor_m2K_W,Pressure_Drop_Shell_bar,Pressure_Drop_Tube_bar,Cooling_Water_Makeup_pct,Operating_Hours,Days_Since_Cleaning,Last_Maintenance_Date,Maintenance_Required,Alarm_Count,Sensor_Status,Equipment_Health_Score,Failure_Risk,Ambient_Temp_C,Relative_Humidity_pct,Electricity_Consumption_kWh,Energy_Loss_kW,Failure_Within_7Days
REC-01438,2023-06-29,15:00,B,HX-695-A,OP-005,Propylene,,39.35,16.13,9968.2,Cooling Water,31.89,37.33,3.48,,115.4,12.36,675.4,3000,68.82,68.84,0.0003184,0.304,0.81,2.09,1410.0,58.75,2023-05-01,Yes,3,Normal,31.3,High,38.14,48.7,40.33,1915.4,0
REC-01439,2023-06-29,18:00,C,HX-695-A,OP-007,Propylene,54.67,37.64,16.47,9607.7,Cooling Water,30.35,35.74,3.4,17775.1,111.3,12.19,671.3,3000,70.2,69.03,0.0003342,0.3,0.758,2.21,1413.0,58.88,2023-05-01,Yes,0,Fault,33.9,High,34.44,51.0,39.93,1920.9,0
REC-01440,2023-06-29,21:00,C,HX-695-A,OP-001,Propylene,55.0,37.72,17.23,9404.8,Cooling Water,30.29,35.95,3.33,16797.3,110.6,12.34,676.3,3000,70.1,70.21,0.0003174,0.356,0.821,1.95,1416.0,59.0,2023-05-01,Yes,1,Normal,37.5,High,34.29,37.5,45.58,1923.1,0
REC-01441,2023-06-30,00:00,A,HX-695-A,OP-005,Propylene,54.59,37.05,16.88,9046.8,Cooling Water,28.93,34.15,3.47,17799.2,108.0,13.34,665.4,3000,67.79,69.03,0.0003475,0.331,0.805,2.32,1419.0,59.13,2023-05-01,Yes,0,Normal,30.0,High,35.37,46.8,44.1,1921.5,0
REC-01442,2023-06-30,03:00,A,HX-695-A,OP-001,Propylene,55.65,38.8,16.1,9968.5,Cooling Water,31.14,36.55,3.4,18180.1,114.3,12.52,676.6,3000,68.83,67.46,0.0003269,0.359,0.775,1.8,1422.0,59.25,2023-05-01,Yes,2,Normal,36.2,High,36.23,49.8,48.37,1915.5,0
REC-01443,2023-06-30,06:00,A,HX-695-A,OP-007,Propylene,52.05,35.54,16.28,9428.9,Cooling Water,27.99,33.13,3.44,17728.2,105.9,12.38,657.4,3000,69.18,69.58,0.0003401,0.381,0.832,2.13,1425.0,59.38,2023-05-01,Yes,1,Normal,32.5,High,34.77,50.5,48.44,1919.9,0
REC-01444,2023-06-30,09:00,B,HX-695-A,OP-011,Propylene,55.14,37.65,17.22,10157.3,Cooling Water,29.69,35.27,3.55,18618.7,120.9,13.02,669.2,3000,68.47,69.29,0.0003247,0.351,0.798,2.3,1428.0,59.5,2023-05-01,Yes,3,Normal,32.8,High,37.01,53.0,46.29,1906.0,0
REC-01445,2023-06-30,12:00,B,HX-695-A,OP-005,Propylene,54.26,36.4,16.67,9488.2,Cooling Water,29.31,35.04,3.34,17308.3,115.3,12.16,684.5,3000,70.86,72.65,0.000332,0.352,0.788,2.36,1431.0,59.63,2023-05-01,Yes,0,Normal,36.5,High,35.71,48.1,40.69,1910.9,0
REC-01446,2023-06-30,15:00,B,HX-695-A,OP-008,Propylene,51.8,36.19,16.54,9979.8,Cooling Water,29.21,34.34,3.66,17796.8,106.1,11.43,667.7,3000,69.05,68.96,0.0003305,0.301,0.807,2.25,1434.0,59.75,2023-05-01,Yes,4,Normal,30.5,High,35.97,53.9,42.43,1922.2,0
REC-01447,2023-06-30,18:00,C,HX-695-A,OP-010,Propylene,54.49,36.47,16.97,9963.5,Cooling Water,28.2,34.31,3.69,17206.8,122.2,13.35,668.1,3000,69.38,67.9,,0.336,0.802,2.17,1437.0,59.88,2023-05-01,Yes,1,Normal,30.2,High,34.97,48.8,43.29,1909.0,0
REC-01448,2023-06-30,21:00,C,HX-695-A,OP-004,Propylene,52.43,34.98,16.22,10269.8,Cooling Water,27.57,33.5,3.31,17690.7,122.0,12.28,671.5,3000,70.18,71.14,0.0003277,0.337,0.751,2.78,1440.0,60.0,2023-05-01,Yes,1,Normal,33.7,High,34.18,50.9,36.97,1902.2,0
REC-01449,2023-07-01,00:00,A,HX-695-A,OP-001,Propylene,53.07,36.66,16.38,9858.5,Cooling Water,29.81,35.06,3.47,18041.6,110.1,11.54,667.9,3000,70.5,70.61,0.0003351,0.319,0.801,2.03,1443.0,60.13,2023-05-01,Yes,1,Normal,35.5,High,35.71,44.0,42.91,1919.3,0
REC-01450,2023-07-01,03:00,A,HX-695-A,OP-012,Propylene,53.6,37.15,16.56,9659.4,Cooling Water,29.64,35.14,3.55,16917.0,108.2,12.17,658.6,3000,69.1,67.29,0.000339,0.372,0.875,2.38,1446.0,60.25,2023-05-01,Yes,2,Normal,31.5,High,37.28,49.7,42.58,1920.1,0
REC-01451,2023-07-01,06:00,A,HX-695-A,OP-002,Propylene,52.38,36.67,16.22,10064.8,Cooling Water,29.93,35.15,3.36,17722.3,107.6,11.18,663.6,3000,70.17,69.84,0.0003428,0.331,0.828,2.77,1449.0,60.38,2023-05-01,Yes,0,Normal,33.3,High,35.7,51.3,45.15,1921.4,0
REC-01452,2023-07-01,09:00,B,HX-695-A,OP-004,Propylene,56.39,36.67,16.83,9736.9,Cooling Water,28.11,34.36,3.15,17985.5,130.7,14.25,665.2,3000,70.47,68.17,0.00034,0.313,0.781,2.39,1452.0,60.5,2023-05-01,Yes,0,Normal,32.3,High,34.63,55.3,42.92,1897.6,0
REC-01453,2023-07-01,12:00,B,HX-695-A,OP-001,Propylene,53.13,36.06,17.05,10013.9,Cooling Water,28.83,34.38,3.49,18007.5,116.4,12.09,662.3,3000,70.55,69.44,0.0003438,0.349,0.817,2.35,1455.0,60.63,2023-05-01,Yes,1,Normal,35.8,High,36.16,47.4,37.02,1918.1,0
REC-01454,2023-07-01,15:00,B,HX-695-A,OP-009,Propylene,53.32,36.2,16.57,10141.5,Cooling Water,29.01,34.67,3.61,17934.0,118.2,12.02,670.1,3000,69.71,72.77,0.0003417,0.356,0.836,2.41,1458.0,60.75,2023-05-01,Yes,0,Normal,34.4,High,34.74,42.3,45.51,1909.5,0
REC-01455,2023-07-01,18:00,C,HX-695-A,OP-006,Propylene,54.15,36.48,16.06,10263.1,Cooling Water,29.38,35.77,3.3,16613.5,123.4,11.86,661.4,3000,71.61,71.33,0.0003423,0.375,0.832,2.53,1461.0,60.88,2023-05-01,Yes,1,Normal,33.7,High,35.19,49.4,42.58,1906.9,0
REC-01456,2023-07-01,21:00,C,HX-695-A,OP-012,Propylene,56.26,36.87,16.3,10035.3,Cooling Water,28.14,34.44,3.28,18074.3,132.5,14.29,657.6,3000,68.72,68.72,0.0003413,0.345,0.796,2.74,1464.0,61.0,2023-05-01,Yes,1,Normal,27.4,High,35.29,51.3,43.48,1904.3,0
REC-01457,2023-07-02,00:00,A,HX-695-A,OP-003,Propylene,53.02,37.05,16.66,9819.7,Cooling Water,29.56,34.56,3.54,18361.6,106.7,12.16,655.6,3000,67.59,67.35,0.0003421,0.333,0.786,2.44,1467.0,61.13,2023-05-01,Yes,1,Fault,30.3,High,35.91,42.3,41.43,1922.6,0
REC-01458,2023-07-02,03:00,A,HX-695-A,OP-011,Propylene,52.63,36.08,16.75,9887.9,Cooling Water,28.59,33.97,3.29,17790.9,111.3,12.24,655.1,3000,68.74,67.47,0.0003439,0.348,0.828,2.57,1470.0,61.25,2023-05-01,Yes,1,Normal,34.2,High,35.88,52.2,50.73,1917.6,0
REC-01459,2023-07-02,06:00,A,HX-695-A,OP-007,Propylene,54.79,37.99,16.39,10166.2,Cooling Water,30.65,36.35,3.55,17537.3,116.2,12.04,655.9,3000,67.67,70.39,0.0003592,0.338,0.836,2.38,1473.0,61.38,2023-05-01,Yes,2,Normal,33.2,High,37.01,50.8,37.92,1911.8,0
REC-01460,2023-07-02,09:00,B,HX-695-A,OP-006,Propylene,52.44,37.25,16.42,9643.5,Cooling Water,29.86,34.66,3.59,17867.1,99.6,11.83,664.6,3000,67.48,67.2,0.0003355,0.324,0.815,2.12,1476.0,61.5,2023-05-01,Yes,1,Normal,31.0,High,35.65,41.2,48.23,1932.9,0
REC-01461,2023-07-02,12:00,B,HX-695-A,OP-004,Propylene,54.12,36.7,16.62,9873.7,Cooling Water,29.21,35.08,3.27,,,12.38,655.4,3000,70.08,69.58,0.000348,0.344,0.835,2.43,1479.0,61.63,2023-05-01,Yes,1,Normal,30.5,High,36.44,51.6,45.33,1915.1,0
REC-01462,2023-07-02,15:00,B,HX-695-A,OP-002,Propylene,56.33,37.46,17.68,9553.6,Cooling Water,28.41,34.21,3.32,18193.1,122.7,14.63,670.3,3000,67.59,69.11,0.0003554,0.337,0.849,2.42,1482.0,61.75,2023-05-01,Yes,2,Normal,23.0,High,35.16,43.3,48.93,1910.7,0
REC-01463,2023-07-02,18:00,C,HX-695-A,OP-005,Propylene,56.05,37.27,16.78,10174.7,Cooling Water,29.37,35.65,3.45,17791.3,130.1,13.18,661.6,3000,70.63,71.2,0.0003585,0.353,0.885,2.47,1485.0,61.88,2023-05-01,Yes,0,Normal,29.6,High,35.37,52.9,41.9,1903.4,0
REC-01464,2023-07-02,21:00,C,HX-695-A,OP-010,Propylene,50.93,36.02,15.8,9924.2,Cooling Water,29.3,34.13,3.26,17934.2,100.7,11.0,661.0,3000,68.24,68.5,0.000345,0.366,0.817,2.0,1488.0,62.0,2023-05-01,Yes,1,Normal,30.8,High,34.44,49.7,48.42,1929.7,0
REC-01465,2023-07-03,00:00,A,HX-695-A,OP-001,Propylene,54.19,36.67,16.9,10242.1,Cooling Water,28.27,34.2,3.53,17710.7,122.2,13.37,668.7,3000,67.58,65.75,0.0003405,0.335,0.843,2.21,1491.0,62.13,2023-05-01,Yes,2,Normal,31.1,High,36.01,47.3,36.04,1904.4,0
REC-01466,2023-07-03,03:00,A,HX-695-A,OP-002,Propylene,52.34,35.41,16.79,9872.2,Cooling Water,28.65,34.28,3.34,17370.8,113.8,11.5,665.6,3000,71.58,71.23,0.0003547,0.329,0.854,2.41,1494.0,62.25,2023-05-01,Yes,0,Normal,36.0,High,34.83,54.2,41.8,1917.4,0
REC-01467,2023-07-03,06:00,A,HX-695-A,OP-008,Propylene,56.48,39.2,15.98,9662.2,Cooling Water,30.84,36.1,3.16,18554.1,113.6,13.49,651.1,3000,67.38,67.46,0.0003611,0.331,0.876,2.84,1497.0,62.38,2023-05-01,Yes,1,Normal,25.7,High,37.14,46.6,41.85,1914.4,0
REC-01468,2023-07-03,09:00,B,HX-695-A,OP-011,Propylene,52.23,36.02,16.94,9565.9,Cooling Water,28.62,33.86,3.64,17295.7,105.6,12.07,671.7,3000,68.06,69.41,0.0003469,0.318,0.805,2.69,1500.0,62.5,2023-05-01,Yes,0,Normal,32.6,High,35.27,52.9,38.4,1919.6,0
REC-01469,2023-07-03,12:00,B,HX-695-A,OP-002,Propylene,52.98,38.35,16.54,9685.8,Cooling Water,31.07,35.61,3.36,18274.4,96.4,11.6,645.4,3000,67.75,66.65,0.000355,0.356,0.855,2.06,1503.0,62.63,2023-05-01,Yes,2,Warning,24.8,High,36.81,49.9,43.36,1933.8,0
REC-01470,2023-07-03,15:00,B,HX-695-A,OP-002,Propylene,52.54,36.88,16.83,9837.1,Cooling Water,29.37,34.65,3.32,17077.9,104.9,11.95,667.2,3000,66.62,66.37,0.0003549,0.319,0.912,1.92,1506.0,62.75,2023-05-01,Yes,0,Normal,32.8,High,34.93,43.3,52.41,1929.4,0
REC-01471,2023-07-03,18:00,C,HX-695-A,OP-003,Propylene,53.86,36.8,15.83,9617.0,Cooling Water,30.16,35.53,3.49,17863.7,111.7,11.51,668.0,3000,72.46,73.04,0.000357,0.393,0.888,1.55,1509.0,62.88,2023-05-01,Yes,0,Normal,24.9,High,35.09,51.3,45.99,1920.8,1
REC-01472,2023-07-03,21:00,C,HX-695-A,OP-002,Propylene,53.87,35.73,15.95,9519.3,Cooling Water,27.74,33.29,3.4,18204.7,117.6,13.31,,3000,70.4,69.84,0.0003482,0.37,0.81,2.54,1512.0,63.0,2023-05-01,Yes,1,Normal,32.6,High,35.21,46.5,51.3,1916.4,1
REC-01473,2023-07-04,00:00,A,HX-695-A,OP-005,Propylene,53.39,36.55,16.93,10520.8,Cooling Water,29.27,35.28,3.44,17258.8,120.6,11.89,658.4,3000,70.29,69.7,0.000365,0.363,0.819,1.78,1515.0,63.13,2023-05-01,Yes,1,Warning,30.3,High,34.27,49.3,45.58,1908.2,1
REC-01474,2023-07-04,03:00,A,HX-695-A,OP-011,Propylene,55.11,38.65,17.31,9825.4,Cooling Water,30.75,35.86,3.3,18509.3,110.1,12.74,659.7,3000,68.82,67.22,0.0003471,0.336,0.813,2.48,1518.0,63.25,2023-05-01,Yes,0,Normal,31.7,High,35.53,49.9,36.02,1920.7,1
REC-01475,2023-07-04,06:00,A,HX-695-A,OP-003,Propylene,56.2,38.0,16.28,9551.0,Cooling Water,30.29,36.23,3.22,17128.5,118.3,12.89,674.7,3000,69.38,72.45,0.0003534,0.35,0.808,2.54,1521.0,63.38,2023-05-01,Yes,0,Fault,32.6,High,37.7,48.2,38.76,1911.3,1
REC-01476,2023-07-04,09:00,B,HX-695-A,OP-006,Propylene,53.48,36.49,16.8,9361.9,Cooling Water,29.16,34.37,3.42,17868.1,108.3,12.29,661.6,3000,69.17,67.9,0.0003524,0.369,0.828,2.33,1524.0,63.5,2023-05-01,Yes,3,Warning,28.1,High,37.14,53.2,,1921.3,1
REC-01477,2023-07-04,12:00,B,HX-695-A,OP-010,Propylene,55.12,37.48,16.56,9638.7,Cooling Water,29.87,35.15,3.53,18816.9,115.7,12.82,655.1,3000,69.58,69.79,0.0003628,0.335,0.867,2.36,1527.0,63.63,2023-05-01,Yes,3,Normal,30.0,High,37.48,43.0,43.87,1919.8,1
REC-01478,2023-07-04,15:00,B,HX-695-A,OP-011,Propylene,55.49,37.19,16.02,9415.1,Cooling Water,28.8,34.45,3.4,17848.7,117.3,13.76,655.6,3000,67.98,67.88,0.000355,0.369,0.857,2.67,1530.0,63.75,2023-05-01,Yes,0,Normal,33.5,High,35.11,50.5,48.84,1908.8,1
REC-01479,2023-07-04,18:00,C,HX-695-A,OP-008,Propylene,53.77,37.2,16.26,9896.1,Cooling Water,29.39,34.91,3.34,17407.0,111.6,12.53,663.8,3000,68.36,68.43,0.0003573,0.364,0.893,2.57,1533.0,63.88,2023-05-01,Yes,1,Normal,31.0,High,35.91,57.9,43.72,1919.2,1
REC-01480,2023-07-04,21:00,C,HX-695-A,OP-002,Propylene,53.56,36.57,16.43,9445.4,Cooling Water,29.1,34.64,3.5,16965.2,109.2,12.32,665.5,3000,69.65,69.99,0.0003615,0.36,0.888,1.86,1536.0,64.0,2023-05-01,Yes,0,Normal,29.6,High,36.23,47.2,43.9,1923.6,1
REC-01481,2023-07-05,00:00,A,HX-695-A,OP-009,Propylene,51.74,35.93,16.0,9497.4,Cooling Water,28.4,33.35,3.3,17768.0,102.2,12.16,654.9,3000,67.0,67.71,0.0003646,0.372,0.894,2.58,1539.0,64.13,2023-05-01,Yes,3,Normal,27.4,High,34.15,52.3,41.36,1929.5,1
REC-01482,2023-07-05,03:00,A,HX-695-A,OP-004,Propylene,55.64,,17.03,9338.9,Cooling Water,29.11,34.61,3.37,18007.1,115.2,13.77,646.9,3000,67.88,66.72,,0.305,0.875,2.72,1542.0,64.25,2023-05-01,Yes,1,Normal,28.7,High,37.21,51.3,47.23,1916.5,1
REC-01483,2023-07-05,06:00,A,HX-695-A,OP-002,Propylene,52.64,36.05,16.39,9378.3,Cooling Water,28.72,33.82,3.24,17836.7,105.8,12.19,651.2,3000,69.83,69.81,0.0003674,0.349,0.895,1.7,1545.0,64.38,2023-05-01,Yes,2,Normal,26.7,High,35.08,53.8,44.7,1919.1,1
REC-01484,2023-07-05,09:00,B,HX-695-A,OP-011,Propylene,55.27,37.35,16.52,9773.3,Cooling Water,29.09,34.69,3.61,18318.9,119.2,13.49,653.4,3000,67.24,68.12,0.0003651,0.365,0.841,2.49,1548.0,64.5,2023-05-01,Yes,1,Normal,23.4,High,35.14,47.5,41.46,1913.2,1
REC-01485,2023-07-05,12:00,B,HX-695-A,OP-005,Propylene,53.13,37.68,16.01,9743.3,Cooling Water,30.78,35.69,3.3,17960.0,102.5,11.37,657.5,3000,69.67,68.56,0.0003655,0.32,0.838,2.31,1551.0,64.63,2023-05-01,Yes,0,Normal,30.7,High,33.56,46.0,42.15,1922.2,1
REC-01486,2023-07-05,15:00,B,HX-695-A,OP-010,Propylene,54.25,37.9,16.5,9563.6,Cooling Water,30.65,36.0,3.29,17085.7,106.4,11.91,649.2,3000,69.92,69.55,0.0003639,0.337,0.829,2.25,1554.0,64.75,2023-05-01,Yes,0,Warning,27.8,High,37.74,55.7,43.33,1924.1,1
REC-01487,2023-07-05,18:00,C,HX-695-A,OP-005,Propylene,53.42,37.4,16.55,10411.9,Cooling Water,30.49,35.94,3.5,17917.4,113.5,11.39,666.0,3000,70.45,69.66,0.0003554,0.352,0.827,2.68,1557.0,64.88,2023-05-01,Yes,1,Normal,27.9,High,35.83,46.4,43.93,1911.4,1
REC-01488,2023-07-05,21:00,C,HX-695-A,OP-009,Propylene,52.25,36.87,16.75,9877.5,Cooling Water,29.71,34.69,3.55,17826.1,103.4,11.59,657.7,3000,68.62,66.34,0.0003576,0.334,0.868,2.85,1560.0,65.0,2023-05-01,Yes,1,Normal,25.7,High,36.04,53.1,45.33,1928.7,1
REC-01489,2023-07-06,00:00,A,HX-695-A,OP-007,Propylene,52.13,36.52,16.51,9564.4,Cooling Water,30.05,34.85,3.48,18184.0,101.6,11.01,665.7,3000,70.57,69.35,0.0003504,0.347,0.819,2.87,1563.0,65.13,2023-05-01,Yes,1,Warning,29.8,High,37.93,45.4,45.61,1936.0,1
REC-01490,2023-07-06,03:00,A,HX-695-A,OP-012,Propylene,52.71,37.08,16.32,9930.3,Cooling Water,30.0,34.78,3.58,18988.5,105.6,11.68,653.5,3000,68.76,68.49,0.0003592,0.361,0.935,2.4,1566.0,65.25,2023-05-01,Yes,3,Normal,24.9,High,36.7,43.2,43.07,1924.2,1
REC-01491,2023-07-06,06:00,A,HX-695-A,OP-001,Propylene,57.0,37.98,15.58,10099.5,Cooling Water,29.44,35.75,3.47,17816.7,130.8,13.94,650.4,3000,68.86,69.82,0.0003704,0.388,0.879,1.87,1569.0,65.38,2023-05-01,Yes,1,Normal,30.6,High,33.94,45.1,44.17,1898.8,1
REC-01492,2023-07-06,09:00,B,HX-695-A,OP-010,Propylene,50.13,36.73,16.78,10259.2,Cooling Water,30.41,34.97,3.44,17650.0,93.5,10.1,647.9,3000,67.8,67.64,0.0003635,0.38,0.941,2.67,1572.0,65.5,2023-05-01,Yes,4,Warning,20.4,High,36.72,49.0,47.08,1936.8,1
REC-01493,2023-07-06,12:00,B,HX-695-A,OP-008,Propylene,54.0,36.52,15.83,9414.2,Cooling Water,28.46,33.8,3.32,18020.0,112.0,13.22,658.3,3000,67.48,68.08,0.0003715,0.353,0.87,2.38,1575.0,65.63,2023-05-01,Yes,2,Normal,23.0,High,31.65,52.8,,1921.9,1
REC-01494,2023-07-06,15:00,B,HX-695-A,OP-012,Propylene,54.41,37.1,15.95,9801.8,Cooling Water,28.99,34.58,3.38,17765.9,115.5,13.11,657.0,3000,68.0,69.07,0.0003622,0.364,0.894,2.64,1578.0,65.75,2023-05-01,Yes,1,Normal,28.6,High,36.66,46.8,44.55,1915.7,1
REC-01495,2023-07-06,18:00,C,HX-695-A,OP-004,Propylene,56.27,38.73,17.21,9699.8,Cooling Water,30.27,35.88,3.33,17735.1,115.8,13.57,,3000,67.28,65.95,0.0003565,0.379,0.879,2.6,1581.0,65.88,2023-05-01,Yes,0,Normal,31.5,High,36.3,50.0,39.42,1915.1,1
REC-01496,2023-07-06,21:00,C,HX-695-A,OP-012,Propylene,54.73,37.17,16.72,9611.4,Cooling Water,28.9,34.8,3.47,16765.8,114.9,13.25,649.6,3000,67.3,69.18,0.0003767,0.341,0.87,2.65,1584.0,66.0,2023-05-01,Yes,0,Normal,29.0,High,34.23,51.7,,1916.2,1
REC-01497,2023-07-07,00:00,A,HX-695-A,OP-011,Propylene,52.23,36.82,16.85,9523.2,Cooling Water,29.69,34.33,3.29,18474.9,99.8,11.71,654.1,3000,68.86,69.41,,0.346,0.915,2.45,1587.0,66.13,2023-05-01,Yes,0,Normal,31.0,High,35.22,53.4,43.93,1927.0,1
REC-01498,2023-07-07,03:00,A,HX-695-A,OP-002,Propylene,53.1,37.44,16.23,9619.6,Cooling Water,30.14,35.06,3.28,17920.9,102.5,11.87,654.8,3000,67.8,68.05,0.000372,0.364,0.829,2.05,1590.0,66.25,2023-05-01,Yes,0,Warning,26.6,High,33.21,52.1,43.95,1928.0,1
REC-01499,2023-07-07,06:00,A,HX-695-A,OP-003,Propylene,54.29,36.66,16.35,10510.1,Cooling Water,29.18,35.17,3.5,18087.4,126.1,12.41,642.2,3000,70.39,71.32,0.0003701,0.313,0.852,2.52,1593.0,66.38,2023-05-01,Yes,1,Normal,21.5,High,34.22,51.2,41.79,1905.4,1
REC-01500,2023-07-07,09:00,B,HX-695-A,OP-010,Propylene,55.49,37.88,16.73,9578.0,Cooling Water,29.79,35.53,3.28,,114.8,13.14,642.9,3000,68.18,69.74,0.0003667,0.36,0.929,2.21,1596.0,66.5,2023-05-01,Yes,2,Normal,21.8,High,34.74,38.3,50.56,1911.8,1
REC-01501,2023-07-07,12:00,B,HX-695-A,OP-008,Propylene,,35.62,16.2,9728.3,Cooling Water,28.04,33.55,3.66,17547.1,112.4,12.45,645.6,3000,69.28,69.45,0.0003744,0.336,0.876,2.6,1599.0,66.63,2023-05-01,Yes,0,Normal,26.5,High,34.79,44.3,37.89,1915.6,1
REC-01502,2023-07-07,15:00,B,HX-695-A,OP-011,Propylene,,36.3,16.08,9730.9,Cooling Water,29.63,34.91,3.39,17947.4,110.3,11.42,662.9,3000,70.74,70.42,0.0003666,0.338,0.853,2.8,1602.0,66.75,2023-05-01,Yes,1,Normal,31.0,High,35.36,52.6,43.45,1918.9,1
REC-01503,2023-07-07,18:00,C,HX-695-A,OP-003,Propylene,56.47,38.36,16.32,9493.6,Cooling Water,29.91,35.54,3.29,17896.6,117.0,13.76,644.0,3000,69.11,67.21,0.0003779,0.363,0.87,2.14,1605.0,66.88,2023-05-01,Yes,1,Normal,27.4,High,35.15,45.9,39.38,1910.6,1
REC-01504,2023-07-07,21:00,C,HX-695-A,OP-003,Propylene,55.6,37.2,16.44,10452.9,Cooling Water,29.25,35.58,3.4,17807.3,130.9,13.07,655.8,3000,68.4,69.69,0.0003668,0.37,0.867,2.15,1608.0,67.0,2023-05-01,Yes,1,Normal,,High,35.58,49.3,49.84,1903.4,1
REC-01505,2023-07-08,00:00,A,HX-695-A,OP-011,Propylene,52.27,36.5,16.27,10078.2,Cooling Water,28.99,34.28,3.13,17608.8,108.1,12.0,642.3,3000,68.43,68.1,0.0003764,0.348,0.882,2.33,1611.0,67.13,2023-05-01,Yes,2,Normal,22.4,High,35.3,47.3,48.76,1918.9,1
REC-01506,2023-07-08,03:00,A,HX-695-A,OP-003,Propylene,,37.46,15.73,9038.1,Cooling Water,28.52,33.95,3.34,17671.3,111.7,14.38,652.0,3000,67.32,66.87,0.0003802,0.39,0.921,1.66,1614.0,67.25,2023-05-01,Yes,0,Normal,29.9,High,35.56,50.8,41.18,1919.9,1
REC-01507,2023-07-08,06:00,A,HX-695-A,OP-003,Propylene,55.33,38.56,16.38,9697.1,Cooling Water,30.8,36.34,3.21,17162.4,110.7,12.56,652.9,3000,69.08,67.14,0.0003837,0.302,0.876,2.72,1617.0,67.38,2023-05-01,Yes,1,Warning,26.0,High,32.89,39.8,47.04,1916.0,1
REC-01508,2023-07-08,09:00,B,HX-695-A,OP-011,Propylene,54.43,36.29,16.18,9846.1,Cooling Water,28.23,34.16,3.38,17631.3,121.5,13.24,664.5,3000,69.47,68.11,0.0003653,0.378,0.867,1.83,1620.0,67.5,2023-05-01,Yes,3,Normal,24.1,High,33.97,53.8,,1909.7,1
REC-01509,2023-07-08,12:00,B,HX-695-A,OP-006,Propylene,52.92,,16.56,10115.8,Cooling Water,26.48,32.51,3.28,17748.0,124.4,13.51,652.3,3000,67.64,67.65,0.0003766,0.315,0.907,2.45,1623.0,67.63,2023-05-01,Yes,1,Normal,29.5,High,33.51,55.7,41.73,1902.8,1
REC-01510,2023-07-08,15:00,B,HX-695-A,OP-011,Propylene,52.58,36.18,17.1,9425.2,Cooling Water,29.51,34.52,3.32,18068.0,105.2,11.44,643.0,3000,71.56,73.21,0.0003818,0.368,0.863,2.21,1626.0,67.75,2023-05-01,Yes,0,Normal,23.8,High,36.4,55.9,38.35,1924.7,1
REC-01511,2023-07-08,18:00,C,HX-695-A,OP-004,Propylene,52.72,37.57,16.42,9959.5,Cooling Water,30.32,35.4,3.57,17364.0,102.7,11.57,644.1,3000,67.47,67.18,0.0003682,0.325,0.886,2.97,1629.0,67.88,2023-05-01,Yes,1,Normal,25.4,High,35.49,56.9,45.17,1922.8,1
REC-01512,2023-07-08,21:00,C,HX-695-A,OP-006,Propylene,53.27,37.64,16.58,10519.2,Cooling Water,29.83,35.24,3.64,17774.1,111.9,12.21,641.3,3000,66.64,67.06,0.0003713,0.369,0.896,2.51,1632.0,68.0,2023-05-01,Yes,1,Normal,23.2,High,36.09,63.8,40.62,1916.1,1
REC-01513,2023-07-09,00:00,A,HX-695-A,OP-009,Propylene,50.68,37.42,17.04,10067.3,Cooling Water,31.57,36.05,3.49,,90.8,9.58,650.8,3000,70.38,70.34,0.0003734,0.378,0.869,2.6,1635.0,68.13,2023-05-01,Yes,0,Warning,30.0,High,33.9,45.3,42.84,1935.0,1
REC-01514,2023-07-09,03:00,A,HX-695-A,OP-006,Propylene,52.67,37.85,16.57,9770.8,Cooling Water,31.04,35.87,3.26,17537.9,98.5,11.06,648.8,3000,68.85,69.23,0.0003816,0.37,0.898,2.28,1638.0,68.25,2023-05-01,Yes,1,Normal,25.4,High,37.22,53.9,46.62,1932.8,1
REC-01515,2023-07-09,06:00,A,HX-695-A,OP-002,Propylene,51.98,37.19,16.6,9721.2,Cooling Water,30.34,35.27,3.34,17075.7,97.9,11.06,646.5,3000,68.92,68.54,0.0003836,0.35,0.877,2.66,1641.0,68.38,2023-05-01,Yes,2,Fault,19.3,High,37.34,53.5,44.92,1931.7,1
REC-01516,2023-07-09,09:00,B,HX-695-A,OP-008,Propylene,52.49,36.65,16.11,10189.3,Cooling Water,29.36,34.49,3.32,18412.4,109.8,11.85,657.6,3000,68.11,66.57,0.0003684,0.316,0.876,2.56,1644.0,68.5,2023-05-01,Yes,0,Warning,27.0,High,35.46,53.8,45.05,1928.1,1
REC-01517,2023-07-09,12:00,B,HX-695-A,OP-009,Propylene,52.78,36.28,16.78,9210.3,Cooling Water,28.57,33.44,3.4,18260.2,103.5,12.64,645.7,3000,68.04,66.59,0.0003841,0.363,0.868,2.08,1647.0,68.63,2023-05-01,Yes,0,Normal,26.4,High,33.18,57.1,41.26,1924.2,1
